"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C21","C0603","9.398mm","13.2082mm","9.398mm","13.2082mm","8.648mm","13.2082mm","T","360.00","Cap Semi"
"C22","C0603","24.9174mm","7.7726mm","24.9174mm","7.7726mm","24.1674mm","7.7726mm","T","360.00","Cap Semi"
"C23","C0603","16.764mm","23.3428mm","16.764mm","23.3428mm","17.514mm","23.3428mm","T","180.00","Cap Semi"
"C24","C0603","16.764mm","21.9458mm","16.764mm","21.9458mm","16.014mm","21.9458mm","T","360.00","Cap Semi"
"D1","0603","11.0425mm","23.0234mm","11.0425mm","23.0234mm","10.1925mm","23.0234mm","T","360.00","LED"
"D2","0603","28.6447mm","21.7474mm","28.6447mm","21.7474mm","27.7947mm","21.7474mm","T","360.00","LED"
"ISP1","HDR1X4","17.9578mm","7.7726mm","21.7678mm","7.7726mm","21.7678mm","7.7726mm","T","180.00","SWD"
"OUT1","HDR1X4","38.6334mm","15.164mm","38.6334mm","18.974mm","38.6334mm","18.974mm","T","270.00","SWD"
"P1","USB-MICRO","2.5926mm","15.1386mm","1.1176mm","15.1386mm","4.0676mm","16.4386mm","T","270.00","USB-MICRO"
"R1","R0603-M","9.398mm","8.9156mm","9.398mm","8.9156mm","8.623mm","8.9156mm","T","360.00","Resistors SMD"
"R2","R0603-M","9.398mm","7.5186mm","9.398mm","7.5186mm","8.623mm","7.5186mm","T","360.00","Resistors SMD"
"R3","R0603-M","9.398mm","10.2618mm","9.398mm","10.2618mm","8.623mm","10.2618mm","T","0.00","Resistors SMD"
"R4","R0603-M","25.3746mm","21.7426mm","25.3746mm","21.7426mm","26.1496mm","21.7426mm","T","180.00","Resistors SMD"
"R5","R0603-M","7.8232mm","23.0126mm","7.8232mm","23.0126mm","8.5982mm","23.0126mm","T","180.00","Resistors SMD"
"R6","R0603-M","20.7772mm","20.3964mm","20.7772mm","20.3964mm","20.0022mm","20.3964mm","T","0.00","Resistors SMD"
"R7","R0603-M","26.6192mm","11.3794mm","26.6192mm","11.3794mm","26.6192mm","12.1544mm","T","270.00","Resistors SMD"
"R8","R0603-M","29.2482mm","18.847mm","29.2482mm","18.847mm","30.0232mm","18.847mm","T","180.00","Resistors SMD"
"R9","R0603-M","30.0482mm","15.9768mm","30.0482mm","15.9768mm","30.0482mm","16.7518mm","T","270.00","Resistors SMD"
"R10","R0603-M","28.7528mm","15.9768mm","28.7528mm","15.9768mm","28.7528mm","16.7518mm","T","270.00","Resistors SMD"
"R11","R0603-M","16.764mm","20.5488mm","16.764mm","20.5488mm","17.539mm","20.5488mm","T","180.00","Resistors SMD"
"R12","R0603-M","26.0096mm","15.9514mm","26.0096mm","15.9514mm","26.0096mm","15.1764mm","T","90.00","Resistors SMD"
"R13","R0603-M","24.9174mm","9.2712mm","24.9174mm","9.2712mm","25.6924mm","9.2712mm","T","180.00","Resistors SMD"
"R14","R0603-M","19.812mm","21.9712mm","19.812mm","21.9712mm","19.037mm","21.9712mm","T","360.00","Resistors SMD"
"U2","ST_LQFP-48_7x7MM","19.7866mm","14.4274mm","19.7866mm","14.4274mm","24.0366mm","11.6774mm","T","180.00","ST STM32F103 48PIN"
"U3","SOT-223","9.7842mm","18.48mm","13.2842mm","16.18mm","13.2842mm","16.18mm","T","270.00","AMS1117-3V3"
"X3","XTAL_ABLS2_ABR","33.782mm","15.113mm","33.782mm","15.1132mm","33.782mm","19.971mm","T","270.00","8MHz"
"C14","CAPC1005X04L","60.325mm","19.0292mm","60.325mm","19.0292mm","60.325mm","18.5292mm","T","90.00","12pF"
"L2","INDC1608X06L","55.7022mm","20.244mm","55.7022mm","20.244mm","55.0272mm","20.244mm","T","360.00","10£gH"
"C10","CAPC1608X06L","55.7276mm","22.3268mm","55.7276mm","22.3268mm","55.0526mm","22.3268mm","T","360.00","1.0£gF"
"C4","CAPC1005X04L","52.832mm","20.3964mm","52.832mm","20.3964mm","53.332mm","20.3964mm","T","180.00","100nF"
"C5","CAPC1005X04L","50.1904mm","12.8018mm","50.1904mm","12.8018mm","49.6904mm","12.8018mm","T","360.00","100nF"
"C7","CAPC1005X04L","63.0428mm","11.608mm","63.0428mm","11.608mm","62.5428mm","11.608mm","T","360.00","100pF"
"C1","CAPC1005X04L","63.0428mm","12.497mm","63.0428mm","12.497mm","62.5428mm","12.497mm","T","360.00","12pF"
"X1","BT-XTAL_2016","63.1698mm","14.1988mm","63.1698mm","14.1988mm","63.8948mm","14.7738mm","T","180.00","32MHz"
"C8","CAPC1005X04L","63.3984mm","19.0248mm","63.3984mm","19.0248mm","63.3984mm","18.5248mm","T","90.00","100nF"
"C9","CAPC1608X06L","53.086mm","21.5648mm","53.086mm","21.5648mm","53.761mm","21.5648mm","T","180.00","4.7£gF"
"C6","CAPC1005X04L","63.0428mm","10.719mm","63.0428mm","10.719mm","63.5428mm","10.719mm","T","180.00","N.C."
"C2","CAPC1005X04L","63.1444mm","15.926mm","63.1444mm","15.926mm","62.6444mm","15.926mm","T","360.00","12pF"
"L1","INDC1005X04L","60.9346mm","9.0426mm","60.9346mm","9.0426mm","60.4596mm","9.0426mm","T","360.00","3.9nH"
"C3","CAPC1005X04L","59.69mm","9.7792mm","59.69mm","9.7792mm","60.0436mm","10.1327mm","T","225.00","0.8pF"
"X2","XTAL_3215","49.9618mm","19.9646mm","49.9618mm","19.9646mm","51.2118mm","19.9646mm","T","180.00","32.768kHz"
"C12","CAPC1005X04L","48.6918mm","21.9712mm","48.6918mm","21.9712mm","48.6918mm","21.4712mm","T","90.00","12pF"
"C11","CAPC1005X04L","51.2318mm","21.9712mm","51.2318mm","21.9712mm","51.2318mm","21.4712mm","T","90.00","12pF"
"C_tune1","CAPC1005X04L","46.3294mm","15.2656mm","46.3294mm","15.2656mm","46.8294mm","15.2656mm","T","180.00","TBD"
"C_tune2","CAPC1005X04L","46.3296mm","13.9956mm","46.3296mm","13.9956mm","45.8296mm","13.9956mm","T","360.00","TBD"
"C13","CAPC1005X04L","62.0268mm","19.0248mm","62.0268mm","19.0248mm","62.0268mm","18.5248mm","T","90.00","12pF"
"P2","HDR1X4","41.1734mm","15.164mm","41.1734mm","18.974mm","41.1734mm","18.974mm","T","270.00","SWD"
